model_name,sku,wishlistCount,qty,wishlist/stock
JJ E12977,john-jacobs-jj-e12977-c2-eyeglasses,2139,5159,0.4146152355107579
VC E11801,vincent-chase-vc-e11801-c13-eyeglasses,0,6225,0.0
VC E13757,vincent-chase-vc-e13757-c1-eyeglasses,1273,2290,0.5558951965065502
LA E15844,lenskart-air-la-e15844-c3-eyeglasses,0,3449,0.0
LA E15850,lenskart-air-la-e15850-c1-eyeglasses,0,348,0.0
VC E16460,vincent-chase-vc-e16460-c2-eyeglasses,0,947,0.0
LA E16645,lenskart-air-la-e16645-c2-eyeglasses,0,60,0.0
JJ E12634,john-jacobs-jj-e12634-c1-eyeglasses,3532,106,33.320754716981135
VC E16002,vincent-chase-vc-e16002-c2-eyeglasses,0,971,0.0
VC E11860,vincent-chase-vc-e12666-c2-eyeglasses,3596,3506,1.0256702795208215
LA E15850,lenskart-air-la-e15850-c3-eyeglasses,0,1001,0.0
VC S16543,vincent-chase-vc-s16543-c1-sunglasses,0,1144,0.0
LA E16646,lenskart-air-la-e16646-c2-eyeglasses,0,2398,0.0
JJ S12961,john-jacobs-jj-s12961-c3-sunglasses,91,445,0.20449438202247192
VC E11259,vincent-chase-vc-e11259-c7-eyeglasses,0,7255,0.0
LA E14360,lenskart-air-la-e14360-c2-eyeglasses,1874,218,8.596330275229358
LA E12489,lenskart-air-la-e12489-c2-eyeglasses,5014,5556,0.902447804175666
VC S16535,vincent-chase-vc-s16535-c2-sunglasses,0,886,0.0
LA E16648,lenskart-air-la-e16648-c1-eyeglasses,0,1431,0.0
JJ S13311,john-jacobs-jj-s13311-c3-sunglasses,2746,1756,1.5637813211845102
VC E13396,vincent-chase-vc-e13396-c1-eyeglasses,3581,4268,0.8390346766635426
VC E11860,vincent-chase-vc-e11860-c5-eyeglasses,2378,1619,1.4688079061148858
LA E16640,lenskart-air-la-e16640-c2-eyeglasses,0,5,0.0
LA E14364,lenskart-air-la-e14364-c1-eyeglasses,3848,630,6.1079365079365076
VC E16459,vincent-chase-vc-e16459-c1-eyeglasses,0,725,0.0
LA E16639,lenskart-air-la-e16639-c2-eyeglasses,0,1207,0.0
JJ E13024,john-jacobs-jj-e13024-c2-eyeglasses,2617,378,6.923280423280423
Aqualens Spectacle Lens Cleaner Bottle 100 ml,aqualens-lens-lens-spray-solution-100-ml,8027,10079813,0.0007963441385271731
Lenskart Aquadrop Natural 10 ml,lenskart-aquadrop-natural-solution,356,4487,0.07934031646980165
Aqualens 24Hrs NXT Monthly Disposable,aqualens-24-h-nxt-monly-dis-con-3lens,4281,49798,0.08596730792401301
Aqualens Daily Disposable 10Hrs,aqualens-dly-dspoble-cntct-lense-10-lenses,3347,49826,0.06717376470116004
VC S14459,vincent-chase-vc-s14459-c7-sunglasses,0,719,0.0
VC S13137,vincent-chase-vc-s13137-c4-c4-sunglasses,2755,746,3.693029490616622
VC S14084,vincent-chase-vc-s14084-c2-c2-sunglasses,3216,277,11.610108303249097
VC S11164,vincent-chase-vc-s11164-c7-full-rim-steel-new-sunglasses,8307,2431,3.4171122994652405
VC S12973,vincent-chase-vc-s12973-c1-sunglasses,7890,1499,5.263509006004003
VC S13116,vincent-chase-vc-s13116-c1-sunglasses,5520,132,41.81818181818182
VC S14084,vincent-chase-vc-s14084-c4-c4-sunglasses,1988,224,8.875
Aquacolor Premium Gray Powered Monthly,aquacolor-premium-gray-color-contact-lenses-1-lp,42,49957,0.0008407230217987469
Bausch & Lomb Soflens Toric Monthly Disposable,b&bsoflenstoric-new,8238,49950,0.16492492492492491
LA E15417-XW,lenskart-air-la-e15417-xw-c22-eyeglasses,0,3652,0.0
Aquacolor Premium Brown Powered Monthly,aquacolor-premium-brown-color-contact-lenses-1-lp,34,49963,0.0006805035726437564
LA E15417-W,lenskart-air-la-e15417-c16-eyeglasses,0,14204,0.0
VC S14078,vincent-chase-vc-s14078-c1-c1-sunglasses,2197,3069,0.7158683610296513
VC S11164,vincent-chase-polarized-vc-s11164-c5-sunglasses,9454,51,185.37254901960785
LR E13968,lenskart-readers-lr-e13968-c2-c-eyeglasses,0,2863,0.0
Aqualens Monthly Disposable 10Hrs,aqualens-10h-monthly-zz-dispos-3lp,12103,49926,0.24241877979409526
VC S12643,vincent-chase-vc-s12643-l1-sunglasses,0,83,0.0
LB E14058-W,lenskart-blu-lb-e14058-c1-eyeglasses,7533,5479,1.3748859280890673
LR E13968,lenskart-readers-lr-e13968-c2-d-eyeglasses,0,2406,0.0
Bausch & Lomb Optima 38 Yearly Disposable,b&boptima38daily-new,13082,49934,0.26198582128409503
VC S11759,vincent-chase-vc-s11759-c3-sunglasses,0,1819,0.0
Acuvue Moist Daily Disposable with BC 8.5 10Hrs,johnson-johnson-acuvue-moist-dailies-10-lens-pack,664,49967,0.013288770588588468
VC S11113,vincent-chase-vc-s11113-l1-sunglasses,0,131,0.0
LR E13968,lenskart-readers-lr-e13968-c3-d-eyeglasses,0,4347,0.0
LB E14058-W,lenskart-blu-lb-e14058-H-c39-eyeglasses,0,5702,0.0
Aquacolor Candypack Envy Green Zero Power Daily,aquacolor-candypack-envy-green-zero-power-daily,974,0,
LR E13968,lenskart-readers-lr-e13968-c3-b-eyeglasses,0,6180,0.0
LH E16985-N,lenskart-hustlr-lh-e16985-N-c4-eyeglasses,0,856,0.0
LB E14058-W,lenskart-blu-lb-e14058-c34-eyeglasses,0,9901,0.0
